Overflow Type,Municipality/Facility,NPDES #,Date Discovered,Time Discovered,Days,Hours,Minutes,Location,Zip Code,Latitude,Longitude,Collection-System,Quantity in Gallons (Estimated),Net in Gallons (Estimated),Cause,Receiving waters,County,Penalty Collected Comments,Penalty Collected,Notes
SSO,WSSC,N/A,1/1/2005,10:00:00 AM,0,2,52,"7628 Old Georgetown Rd, MH/12025126M",20814,,,,100,100,Undetermined,Unknown,Montgomery,,,Collection system not provided
SSO,Anne Arundel County DPW,N/A,1/1/2005,12:00:00 PM,0,4,0,Benning & Woodfield Rds.,20765,,,,2000,2000,Structural failure,Tenthouse Creek,Anne Arundel,,,Collection system not provided
SSO,City of Baltimore,N/A,1/1/2005,8:16:00 PM,0,2,0,5300 Falls Rd,21209,,,Patapsco WWTP,600,600,Blockage,Jones Falls,City of Baltimore,,,None
SSO,Anne Arundel County DPW,N/A,1/1/2005,10:00:00 PM,0,12,0,101 Groh Ln,21403,,,,5000,5000,Structural failure,South River,Anne Arundel,,,Collection system not provided
SSO,City of Baltimore,N/A,1/2/2005,12:03:00 PM,0,3,0,6200 Ship View Way,21224,,,Back River WWTP,891,891,Blockage,Inner Harbor,City of Baltimore,,,None
SSO,Baltimore County DPW,N/A,1/2/2005,12:30:00 PM,0,4,0,531 Kingston Rd @ Sunnythorn Rd,21229,,,Patapsco WWTP,500,500,Structural failure,Middle River,Baltimore County,,,None
SSO,"Perryville, Town Commissioners",N/A,1/2/2005,2:30:00 PM,0,1,0,1400 Blk Frenchtown Rd,21903,,,Perryville WWTP,500,500,Grease,Unknown,Cecil,,,Collection system not provided
SSO,City of Baltimore,N/A,1/2/2005,10:00:00 PM,0,1,0,1800 Park Ave,21217,,,Patapsco WWTP,300,300,Blockage,Jones Falls,City of Baltimore,,,None
SSO,"Ridgely, Commissioners of",N/A,1/3/2005,9:00:00 AM,0,0,20,Between Liberty & Bell Sts,21660,,,,10,10,Blockage,Unknown,Caroline,,,Collection system not provided
SSO,City of Baltimore,N/A,1/3/2005,10:30:00 AM,1,4,15,4601 Franklintown Rd,21229,,,Patapsco WWTP,24975,24975,Blockage,Gwynn's Falls,City of Baltimore,,,None
SSO,WSSC,N/A,1/3/2005,3:23:00 PM,0,21,0,"18101-57 Town Center Dr, MH/26003011",20832,,,,1890,1890,Blockage,Unknown,Montgomery,,,Collection system not provided
SSO,WSSC,N/A,1/4/2005,11:40:00 AM,0,8,0,"6800 Killarney St, MH/04021030U",20735,,,,1080,1080,Blockage,Unnamed tributary,Prince George's,,,Collection system not provided
CSO,Allegany County DPW,MD0067407,1/5/2005,3:00:00 AM,,,,002 Braddock Estates,21532,39.3821,-78.5555,Cumberland WWTP,27000,27000,Precipitation,Georges Creek,Allegany,,,Duration not provided
